bin,k,-t,x_b,q_squared,phi,a_sin_lu_i_1,a_sin_lu_i_1_stat_plus,a_sin_lu_i_1_stat_minus,a_sin_lu_i_1_sys_plus,a_sin_lu_i_1_sys_minus
1,,-0.02,0.07,1.71,,-0.225,0.062,0.062,0.010,0.010
2,,-0.04,0.09,2.22,,-0.231,0.063,0.063,0.016,0.016
3,,-0.08,0.10,2.44,,-0.193,0.069,0.069,0.009,0.009
4,,-0.14,0.11,2.72,,-0.249,0.059,0.059,0.013,0.013
5,,-0.26,0.12,3.13,,-0.256,0.080,0.080,0.013,0.013
6,,-0.46,0.12,3.63,,-0.158,0.115,0.115,0.013,0.013
7,,-0.10,0.05,1.34,,-0.248,0.060,0.060,0.067,0.067
8,,-0.09,0.07,1.78,,-0.191,0.059,0.059,0.034,0.034
9,,-0.11,0.09,2.30,,-0.215,0.069,0.069,0.018,0.018
10,,-0.12,0.11,2.92,,-0.248,0.071,0.071,0.032,0.032
11,,-0.16,0.16,4.04,,-0.244,0.077,0.077,0.023,0.023
12,,-0.23,0.24,6.11,,-0.040,0.139,0.139,0.005,0.005
13,,-0.08,0.05,1.20,,-0.247,0.059,0.059,0.055,0.055
14,,-0.10,0.07,1.59,,-0.151,0.067,0.067,0.042,0.042
15,,-0.11,0.08,2.08,,-0.230,0.064,0.064,0.031,0.031
16,,-0.13,0.10,2.77,,-0.425,0.068,0.068,0.041,0.041
17,,-0.15,0.13,3.76,,-0.103,0.076,0.076,0.040,0.040
18,,-0.22,0.20,5.75,,-0.129,0.094,0.094,0.008,0.008
