bin,k,-t,x_b,q_squared,phi,bca_0,bca_0_stat_plus,bca_0_stat_minus,bca_0_sys_plus,bca_0_sys_minus
1,,-0.02, 0.07, 1.71,,0.010,0.020,0.020,0.001,0.001
2,,-0.04, 0.09, 2.22,,0.004,0.020,0.020,0.005,0.005
3,,-0.08, 0.10, 2.44,,-0.015,0.022,0.022,0.009,0.009
4,,-0.14, 0.11, 2.72,,-0.019,0.018,0.018,0.004,0.004
5,,-0.26, 0.12, 3.13,,-0.005,0.025,0.025,0.015,0.015
6,,-0.46, 0.12, 3.63,,0.037,0.038,0.038,0.020,0.020
7,,-0.10, 0.05, 1.34,,0.040,0.018,0.018,0.003,0.003
8,,-0.09, 0.07, 1.78,,-0.026,0.019,0.019,0.001,0.001
9,,-0.11, 0.09, 2.30,,-0.005,0.022,0.022,0.011,0.011
10,,-0.12, 0.11, 2.92,,-0.035,0.023,0.023,0.005,0.005
11,,-0.16, 0.16, 4.04,,-0.006,0.024,0.024,0.009,0.009
12,,-0.23, 0.24, 6.11,,-0.076,0.044,0.044,0.014,0.014
13,,-0.08, 0.05, 1.20,,0.046,0.018,0.018,0.006,0.006
14,,-0.10, 0.07, 1.59,,-0.027,0.021,0.021,0.004,0.004
15,,-0.11, 0.08, 2.08,,-0.023,0.020,0.020,0.011,0.011
16,,-0.13, 0.10, 2.77,,-0.001,0.023,0.023,0.014,0.014
17,,-0.15, 0.13, 3.76,,-0.051,0.025,0.025,0.001,0.001
18,,-0.22, 0.20, 5.75,,-0.002,0.030,0.030,0.011,0.011
