bin,k,-t,x_b,q_squared,phi,a_sin_lu_i_1,a_sin_lu_i_1_stat_plus,a_sin_lu_i_1_stat_minus,a_sin_lu_i_1_sys_plus,a_sin_lu_i_1_sys_minus
1,,-0.02,0.07,1.71,,0.095,0.062,0.062,0.007,0.007
2,,-0.04,0.09,2.22,,0.091,0.062,0.062,0.010,0.010
3,,-0.08,0.10,2.44,,-0.051,0.069,0.069,0.011,0.011
4,,-0.14,0.11,2.72,,0.020,0.058,0.058,0.008,0.008
5,,-0.26,0.12,3.13,,0.126,0.079,0.079,0.015,0.015
6,,-0.46,0.12,3.63,,-0.101,0.114,0.114,0.010,0.010
7,,-0.10,0.05,1.34,,0.087,0.059,0.059,0.011,0.011
8,,-0.09,0.07,1.78,,0.023,0.058,0.058,0.007,0.007
9,,-0.11,0.09,2.30,,0.026,0.069,0.069,0.014,0.014
10,,-0.12,0.11,2.92,,0.033,0.071,0.071,0.016,0.016
11,,-0.16,0.16,4.04,,0.066,0.077,0.077,0.016,0.016
12,,-0.23,0.24,6.11,,-0.196,0.137,0.137,0.048,0.048
13,,-0.08,0.05,1.20,,0.078,0.059,0.059,0.010,0.010
14,,-0.10,0.07,1.59,,0.034,0.067,0.067,0.016,0.016
15,,-0.11,0.08,2.08,,0.052,0.064,0.064,0.013,0.013
16,,-0.13,0.10,2.77,,0.212,0.068,0.068,0.015,0.015
17,,-0.15,0.13,3.76,,-0.097,0.075,0.075,0.012,0.012
18,,-0.22,0.20,5.75,,-0.124,0.093,0.093,0.013,0.013
