bin,k,-t,x_b,q_squared,phi,bca_2,bca_2_stat_plus,bca_2_stat_minus,bca_2_sys_plus,bca_2_sys_minus
1,,-0.02, 0.07, 1.71,,0.008,0.020,0.020,0.008,0.008
2,,-0.04, 0.09, 2.22,,-0.004,0.020,0.020,0.013,0.013
3,,-0.08, 0.10, 2.44,,0.022,0.022,0.022,0.013,0.013
4,,-0.14, 0.11, 2.72,,-0.038,0.018,0.018,0.021,0.021
5,,-0.26, 0.12, 3.13,,0.018,0.025,0.025,0.042,0.042
6,,-0.46, 0.12, 3.63,,0.041,0.040,0.040,0.025,0.025
7,,-0.10, 0.05, 1.34,,0.004,0.019,0.019,0.019,0.019
8,,-0.09, 0.07, 1.78,,-0.046,0.019,0.019,0.012,0.012
9,,-0.11, 0.09, 2.30,,0.033,0.022,0.022,0.019,0.019
10,,-0.12, 0.11, 2.92,,0.024,0.023,0.023,0.004,0.004
11,,-0.16, 0.16, 4.04,,0.007,0.025,0.025,0.001,0.001
12,,-0.23, 0.24, 6.11,,0.014,0.045,0.045,0.026,0.026
13,,-0.08, 0.05, 1.20,,0.018,0.018,0.018,0.010,0.010
14,,-0.10, 0.07, 1.59,,-0.035,0.021,0.021,0.016,0.016
15,,-0.11, 0.08, 2.08,,-0.023,0.021,0.021,0.005,0.005
16,,-0.13, 0.10, 2.77,,0.021,0.022,0.022,0.019,0.019
17,,-0.15, 0.13, 3.76,,-0.009,0.025,0.025,0.015,0.015
18,,-0.22, 0.20, 5.75,,0.029,0.030,0.030,0.006,0.006
